order_id,order_date,customer_ref,gross_amount,currency,status
ORD-004472,2026-01-04,CUST-35013,4240500,INR,paid
ORD-004473,2026-01-07,CUST-32536,4484800,INR,paid
ORD-004474,2026-01-09,CUST-35558,223900,INR,paid
ORD-004475,2026-01-09,CUST-33548,92500,INR,refunded
ORD-004476,2026-01-08,CUST-32585,1461000,INR,paid
ORD-004477,2026-01-08,CUST-38528,2402600,INR,paid
ORD-004478,2026-01-10,CUST-35804,3564200,INR,paid
ORD-004479,2026-01-08,CUST-31751,4169800,INR,paid
ORD-004480,2026-01-08,CUST-36978,711900,INR,paid
ORD-004481,2026-01-09,CUST-35375,1115900,INR,paid
ORD-004482,2026-01-13,CUST-35423,3550500,INR,paid
ORD-004483,2026-01-13,CUST-31917,4244300,INR,paid
ORD-004484,2026-01-16,CUST-36156,1804600,INR,paid
ORD-004485,2026-01-13,CUST-38518,1443400,INR,paid
ORD-004486,2026-01-14,CUST-39831,986300,INR,paid
ORD-004487,2026-01-13,CUST-33267,1771900,INR,paid
ORD-004488,2026-01-16,CUST-37305,1051600,INR,paid
ORD-004489,2026-01-19,CUST-39798,1697600,INR,paid
ORD-004490,2026-01-17,CUST-38124,4970900,INR,paid
ORD-004491,2026-01-16,CUST-35316,1086500,INR,paid
ORD-004492,2026-01-18,CUST-35890,3330600,INR,paid
ORD-004493,2026-01-18,CUST-33647,4237400,INR,paid
ORD-004494,2026-01-21,CUST-36039,177600,INR,paid
ORD-004495,2026-01-21,CUST-32291,1619200,INR,paid
ORD-004496,2026-01-18,CUST-33061,611300,INR,paid
ORD-004497,2026-01-18,CUST-37933,891400,INR,paid
ORD-004498,2026-01-22,CUST-37119,4722300,INR,paid
ORD-004499,2026-01-21,CUST-32050,2921100,INR,paid
ORD-004500,2026-01-26,CUST-31965,1558000,INR,paid
ORD-004501,2026-01-27,CUST-32161,1550300,INR,paid
ORD-004502,2026-01-26,CUST-34511,3419500,INR,paid
ORD-004503,2026-01-26,CUST-38750,3583900,INR,paid
ORD-004504,2026-01-26,CUST-38063,2717700,INR,paid
ORD-004505,2026-01-29,CUST-36560,4828000,INR,paid
ORD-004506,2026-01-28,CUST-38351,766100,INR,paid
ORD-004507,2026-01-26,CUST-35093,968600,INR,paid
ORD-004508,2026-01-26,CUST-39857,544000,INR,paid
ORD-004509,2026-01-27,CUST-37571,2713400,INR,paid
ORD-004510,2026-01-29,CUST-35346,434200,INR,paid
ORD-004511,2026-01-29,CUST-34567,4387600,INR,paid
ORD-004512,2026-02-01,CUST-38812,433200,INR,paid
ORD-004513,2026-01-31,CUST-34045,3345400,INR,paid
ORD-004514,2026-02-01,CUST-35034,499000,INR,paid
ORD-004515,2026-02-01,CUST-39566,3844000,INR,paid
ORD-004516,2026-01-31,CUST-35916,1614200,INR,paid
ORD-004517,2026-01-31,CUST-32639,3046400,INR,paid
ORD-004518,2026-02-01,CUST-36719,530100,INR,paid
ORD-004519,2026-01-26,CUST-39667,2368900,INR,paid
ORD-004520,2026-01-27,CUST-35334,2368900,INR,paid
ORD-004521,2026-01-29,CUST-34451,2368900,INR,paid
