line_id,txn_date,narration,credit,debit,balance,utr
BL-0002,2026-01-05,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00001,4122412,,14122412,HDFCN26010518289
BL-0003,2026-01-08,NEFT CR   PAYOUT,4359908,,18482320,
BL-0139,2026-01-08,NEFT CR   PAYOUT,4359908,,22842228,
BL-0004,2026-01-11,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00003,11582220,,34424448,HDFCN26011137930
BL-0005,2026-01-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00004,1776900,,36201348,HDFCN26011279840
BL-0006,2026-01-15,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00005,7577731,,43779079,HDFCN26011504207
BL-0007,2026-01-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00006,5838940,,49618019,HDFCN26011811915
BL-0008,2026-01-19,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00007,1022316,,50640335,HDFCN26011978104
BL-0009,2026-01-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00008 PART 1 OF 2,6256440,,56896775,HDFCN26012078504
BL-0169,2026-01-21,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00008 PART 2 OF 2,8639847,,65536622,HDFCN26012178265
BL-0010,2026-01-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00009,3207616,,68744238,HDFCN26012270686
BL-0012,2026-01-29,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00011,12472128,,81216366,HDFCN26012955519
BL-0013,2026-01-30,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00012,6908793,,88125159,HDFCN26013012224
BL-0011,2026-02-01,RAZORPAY SETTLEMENT NO 10 CR,7430547,,95555706,HDFCN26020169393
BL-0014,2026-02-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00013,3059947,,98615653,HDFCN26020137388
BL-0015,2026-02-03,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00014,12160844,,110776497,HDFCN26020334179
BL-0016,2026-02-03,NEFT CR   PAYOUT,5046150,,115822647,
BL-0066,2026-02-03,NEFT CR   PAYOUT,5046150,,120868797,
BL-0017,2026-02-06,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00016,1935944,,122804741,HDFCN26020626685
BL-0018,2026-02-08,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00017,4787169,,127591910,HDFCN26020814663
BL-0019,2026-02-10,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00018,6311309,,133903219,HDFCN26021027535
BL-0020,2026-02-13,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00019,8300527,,142203746,HDFCN26021303248
BL-0022,2026-02-16,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00021,1826819,,144030565,HDFCN26021603617
BL-0023,2026-02-16,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00022,5917649,,149948214,HDFCN26021668146
BL-0021,2026-02-19,RAZORPAY SETTLEMENT NO 20 CR,7433755,,157381969,HDFCN26021917884
BL-0024,2026-02-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00023,6387818,,163769787,HDFCN26022087410
BL-0025,2026-02-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00024,8960617,,172730404,HDFCN26022257905
BL-0026,2026-02-24,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00025,6637855,,179368259,HDFCN26022429444
BL-0027,2026-02-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00026,3154246,,182522505,HDFCN26022552383
BL-0029,2026-02-27,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00028,17257157,,199779662,HDFCN26022718136
